version,section,function,length,matching
us,.code,func_8002AED8,2632,no
us,.code,func_80027308,52,yes
us,.code,func_8002BF98,2388,no
us,.code,func_8002563C,136,yes
us,.code,func_8002881C,1568,no
us,.code,func_800264E0,224,yes
us,.code,func_80024E38,1128,no
us,.code,func_80024D8C,172,no
us,.code,func_8002BE44,340,no
us,.code,func_8002D7E8,112,yes
us,.code,func_800240F0,104,yes
us,.code,func_800256C4,72,yes
us,.code,func_8002D2F0,1032,no
us,.code,func_800277F8,1820,no
us,.code,func_800284C0,392,yes
us,.code,func_80026CF0,1220,no
us,.code,func_80028648,468,no
us,.code,func_80025480,48,yes
us,.code,func_800271B4,340,yes
us,.code,func_8002CC08,1032,no
us,.code,func_80024D3C,80,yes
us,.code,func_8002B920,1316,no
us,.code,func_80024158,3044,no
us,.code,func_8002A398,1804,no
us,.code,func_8002AAA4,620,yes
us,.code,func_80028E3C,1320,no
us,.code,func_800261B8,808,no
us,.code,func_80029B9C,696,no
us,.code,func_80029364,2104,no
us,.code,func_8002733C,356,yes
us,.code,func_80024000,240,yes
us,.code,func_8002AD10,456,yes
us,.code,func_8002C8EC,796,yes
us,.code,func_800265C0,200,yes
us,.code,func_8002D010,736,no
us,.code,func_8002570C,2732,no
us,.code,func_80026940,944,no
us,.code,func_800253E4,156,yes
us,.code,func_800274A0,168,yes
us,.code,func_80029E54,444,no
us,.code,func_80026690,688,no
us,.code,func_800254B0,396,no
us,.code,func_8002D6F8,240,yes
us,.code,func_800252A0,324,no
us,.code,func_80027F14,1452,no
us,.code,func_8002A010,904,no
us,.code,func_80027548,688,no
