version,section,function,length,matching
us,.critter,func_critter_8002601C,636,no
us,.critter,func_critter_8002646C,196,yes
us,.critter,func_critter_80026904,344,yes
us,.critter,func_critter_800255C4,528,yes
us,.critter,func_critter_80028120,1824,no
us,.critter,func_critter_80026FD0,100,yes
us,.critter,func_critter_80026C9C,368,no
us,.critter,func_critter_80024154,296,yes
us,.critter,func_critter_80024B78,272,yes
us,.critter,func_critter_800288A8,500,no
us,.critter,func_critter_80026B78,292,yes
us,.critter,func_critter_8002448C,140,yes
us,.critter,func_critter_80025A3C,148,yes
us,.critter,func_critter_8002658C,744,no
us,.critter,func_critter_80029110,8,yes
us,.critter,func_critter_8002708C,140,yes
us,.critter,func_critter_80029118,1476,no
us,.critter,func_critter_80026E0C,452,yes
us,.critter,func_critter_80026A5C,284,yes
us,.critter,func_critter_80028EE8,356,no
us,.critter,func_critter_80024578,64,yes
us,.critter,func_critter_80027448,2424,no
us,.critter,func_critter_80025AD0,588,yes
us,.critter,func_critter_80025F3C,80,yes
us,.critter,func_critter_8002409C,80,yes
us,.critter,func_critter_80027340,264,yes
us,.critter,func_critter_800247F4,900,no
us,.critter,func_critter_80026410,92,yes
us,.critter,func_critter_80025F8C,144,yes
us,.critter,func_critter_80024F28,580,yes
us,.critter,func_critter_800245B8,572,yes
us,.critter,func_critter_80025DB8,388,yes
us,.critter,func_critter_80027118,552,no
us,.critter,func_critter_800296DC,264,yes
us,.critter,func_critter_80026874,144,yes
us,.critter,func_critter_80024518,96,yes
us,.critter,func_critter_80027034,88,yes
us,.critter,func_critter_80028840,104,yes
us,.critter,func_critter_80028DE8,256,yes
us,.critter,func_critter_8002516C,916,no
us,.critter,func_critter_80025D1C,156,yes
us,.critter,func_critter_800257D4,220,yes
us,.critter,func_critter_80028A9C,844,no
us,.critter,func_critter_8002427C,528,yes
us,.critter,func_critter_80025500,196,yes
us,.critter,func_critter_800262C0,120,yes
us,.critter,func_critter_8002904C,196,no
us,.critter,func_critter_80024C88,672,no
us,.critter,func_critter_80024000,156,yes
us,.critter,func_critter_800240EC,104,yes
us,.critter,func_critter_800258B0,396,yes
us,.critter,func_critter_80026530,92,yes
us,.critter,func_critter_80027DC0,864,yes
us,.critter,func_critter_80026338,216,yes
us,.critter,func_critter_80026298,40,yes
