version,section,function,length,matching
us,boot,__osSiDeviceBusy,44,yes
us,boot,__f_to_ull,156,yes
us,boot,osViBlack,112,yes
us,boot,guLookAtHilite,184,yes
us,boot,osContGetReadData,140,yes
us,boot,__osSiRawWriteIo,76,yes
us,boot,func_dk64_boot_80002B0C,172,no
us,boot,guScale,72,yes
us,boot,func_dk64_boot_80002750,52,yes
us,boot,func_dk64_boot_80001700,1012,yes
us,boot,__ll_to_f,24,yes
us,boot,guMtxIdent,48,yes
us,boot,osStartThread,336,yes
us,boot,__ull_rem,60,yes
us,boot,_strchr,76,yes
us,boot,__osGetCurrFaultedThread,12,yes
us,boot,guMtxXFMF,160,yes
us,boot,__osPiRelAccess,44,yes
us,boot,__osContRamRead,548,yes
us,boot,osViGetCurrentFramebuffer,64,yes
us,boot,sinf,448,yes
us,boot,func_dk64_boot_80002ABC,80,yes
us,boot,guMtxXFML,96,yes
us,boot,func_dk64_boot_80002C74,116,yes
us,boot,osDestroyThread,260,yes
us,boot,__osContGetInitData,208,yes
us,boot,guPosition,104,yes
us,boot,guMtxF2L,256,yes
us,boot,__osSpGetStatus,12,yes
us,boot,__ull_rshift,44,yes
us,boot,__osSetFpcCsr,16,yes
us,boot,osCreateMesgQueue,44,yes
us,boot,__osEepStatus,424,yes
us,boot,func_dk64_boot_800024E0,196,yes
us,boot,__ll_lshift,44,yes
us,boot,__osPfsRequestData,208,yes
us,boot,func_dk64_boot_80002CE8,120,no
us,boot,func_dk64_boot_80000E48,164,yes
us,boot,func_dk64_boot_80001DB0,1316,yes
us,boot,func_dk64_boot_80001C48,360,yes
us,boot,osEepromLongRead,140,yes
us,boot,__osContRamWrite,588,yes
us,boot,osAiGetLength,12,yes
us,boot,func_dk64_boot_80002D60,132,yes
us,boot,osDpGetStatus,12,yes
us,boot,_strstr,168,yes
us,boot,guTranslate,84,yes
us,boot,osGetCount,16,yes
us,boot,osEPiRawWriteIo,344,yes
us,boot,guSprite2DInit,68,yes
us,boot,osGetThreadId,24,yes
us,boot,guPerspective,88,yes
us,boot,osCreatePiManager,368,yes
us,boot,__osRestoreInt,32,yes
us,boot,osPfsIsPlug,416,yes
us,boot,__osCleanupThread,16,yes
us,boot,func_dk64_boot_80000CD4,184,yes
us,boot,cosf,360,yes
us,boot,func_dk64_boot_80000D8C,188,yes
us,boot,osCreateThread,324,yes
us,boot,__osPfsGetInitData,208,yes
us,boot,__osRepairPackId,848,yes
us,boot,__osSiCreateAccessQueue,80,yes
us,boot,__osSumcalc,116,yes
us,boot,bcopy,784,yes
us,boot,osVirtualToPhysical,124,yes
us,boot,osMotorInit,348,yes
us,boot,osRecvMesg,312,yes
us,boot,memcpy,288,no
us,boot,guScaleF,84,yes
us,boot,osSendMesg,332,yes
us,boot,osSetEventMesg,104,yes
us,boot,osPiGetStatus,12,yes
us,boot,func_dk64_boot_80002790,152,no
us,boot,guMtxCatL,88,yes
us,boot,func_dk64_boot_80002724,44,yes
us,boot,osPiRawStartDma,224,yes
us,boot,osViSetMode,104,yes
us,boot,__osViInit,316,yes
us,boot,osUnmapTLBAll,80,yes
us,boot,__ull_to_f,48,yes
us,boot,__ull_to_d,52,yes
us,boot,bcmp,284,yes
us,boot,__osDevMgrMain,1168,yes
us,boot,func_dk64_boot_80000450,100,yes
us,boot,func_dk64_boot_800029EC,68,no
us,boot,osSetThreadPri,224,yes
us,boot,memset,52,yes
us,boot,__osExceptionPreamble,16,yes
us,boot,__osSpSetStatus,12,yes
us,boot,__osCheckPackId,356,yes
us,boot,guNormalize,132,yes
us,boot,__osTimerServicesInit,140,yes
us,boot,func_dk64_boot_800005A8,984,no
us,boot,__d_to_ll,28,yes
us,boot,__osPfsGetStatus,208,yes
us,boot,osPiStartDma,268,yes
us,boot,osPiRawReadIo,84,yes
us,boot,osSpTaskYield,32,yes
us,boot,_sprintf,44,yes
us,boot,func_dk64_boot_80002828,184,no
us,boot,func_dk64_boot_800010C0,1600,yes
us,boot,guPositionF,432,yes
us,boot,osSpTaskYielded,128,yes
us,boot,osEPiRawReadIo,348,yes
us,boot,guLookAtF,696,yes
us,boot,__osPfsRequestOneChannel,196,yes
us,boot,__osSetCompare,16,yes
us,boot,__osSetSR,16,yes
us,boot,guAlign,80,yes
us,boot,func_dk64_boot_80000AA0,564,no
us,boot,__osSiGetAccess,68,yes
us,boot,__osEnqueueAndYield,256,yes
us,boot,func_dk64_boot_80001AF4,340,yes
us,boot,osInvalICache,128,yes
us,boot,func_dk64_boot_80002BB8,188,no
us,boot,guPerspectiveF,560,yes
us,boot,__osSetGlobalIntMask,76,yes
us,boot,guMtxL2F,180,yes
us,boot,__osSetTimerIntr,116,yes
us,boot,__osIdCheckSum,252,yes
us,boot,__osSiRawReadIo,80,yes
us,boot,_strcpy,52,yes
us,boot,func_dk64_boot_800009D0,88,yes
us,boot,__osPiCreateAccessQueue,80,yes
us,boot,osSetIntMask,160,yes
us,boot,osSpTaskLoad,400,yes
us,boot,osPiGetCmdQueue,40,yes
us,boot,func_dk64_boot_800025A4,384,no
us,boot,__osAiDeviceBusy,48,yes
us,boot,bzero,156,yes
us,boot,func_dk64_boot_8000102C,144,yes
us,boot,__osPfsGetOneChannelData,152,yes
us,boot,osJamMesg,336,yes
us,boot,osSpTaskStartGo,64,yes
us,boot,osWritebackDCacheAll,48,yes
us,boot,__ll_to_d,24,yes
us,boot,__osResetGlobalIntMask,88,yes
us,boot,osSetTimer,212,yes
us,boot,sqrtf,16,yes
us,boot,__osInsertTimer,392,yes
us,boot,osAiSetFrequency,324,yes
us,boot,func_dk64_boot_800004B4,64,yes
us,boot,__osPackEepReadData,140,yes
us,boot,osContInit,368,yes
us,boot,__osPfsRWInode,724,yes
us,boot,func_dk64_boot_80003120,192,no
us,boot,osViSetSpecialFeatures,440,yes
us,boot,__f_to_ll,28,yes
us,boot,vsprintf,4884,no
us,boot,guAlignF,448,yes
us,boot,__osDequeueThread,64,yes
us,boot,send_mesg,232,yes
us,boot,__osDispatchThread,380,yes
us,boot,__osViSwapContext,760,yes
us,boot,osViSwapBuffer,80,yes
us,boot,__osException,1316,yes
us,boot,osEPiRawStartDma,480,yes
us,boot,__osProbeTLB,192,yes
us,boot,__osDisableInt,32,yes
us,boot,__ll_mod,156,yes
us,boot,createSpeedParam,156,yes
us,boot,osPiReadIo,64,yes
us,boot,guLookAtHiliteF,1848,yes
us,boot,osSetTime,36,yes
us,boot,__osGetFpcCsr,16,yes
us,boot,__ll_rshift,44,yes
us,boot,osViGetCurrentMode,72,yes
us,boot,guTranslateF,72,yes
