version,section,function,length,matching
us,asm,func_global_asm_806E34D8,84,yes
us,asm,func_global_asm_806F46B0,148,yes
us,asm,func_global_asm_806F8170,264,yes
us,asm,func_global_asm_80732730,196,yes
us,asm,func_global_asm_806844EC,32,yes
us,asm,func_global_asm_8072E2B0,112,yes
us,asm,func_global_asm_8070D928,72,yes
us,asm,func_global_asm_806EA5CC,52,yes
us,asm,func_global_asm_806ECAC4,272,yes
us,asm,func_global_asm_80643440,612,yes
us,asm,func_global_asm_80674A5C,128,no
us,asm,func_global_asm_8065FB64,548,no
us,asm,func_global_asm_80678BBC,268,yes
us,asm,func_global_asm_806EC994,224,yes
us,asm,func_global_asm_806FDF54,292,no
us,asm,func_global_asm_8066B8C8,92,yes
us,asm,func_global_asm_806E2EA8,36,yes
us,asm,func_global_asm_8069E660,196,yes
us,asm,func_global_asm_805FC668,804,no
us,asm,func_global_asm_806C71D8,8,yes
us,asm,func_global_asm_80666090,496,no
us,asm,func_global_asm_806925AC,148,yes
us,asm,func_global_asm_8067B280,8,yes
us,asm,func_global_asm_8072E0A8,252,no
us,asm,func_global_asm_80703CF8,984,no
us,asm,func_global_asm_80652858,292,yes
us,asm,func_global_asm_8070C2D8,696,no
us,asm,func_global_asm_8060AB38,16,yes
us,asm,func_global_asm_806355DC,540,yes
us,asm,func_global_asm_806E52D0,440,no
us,asm,func_global_asm_806637C0,132,no
us,asm,func_global_asm_806E8C2C,296,no
us,asm,func_global_asm_806CBE44,76,yes
us,asm,func_global_asm_807149A8,16,yes
us,asm,func_global_asm_80674150,368,no
us,asm,func_global_asm_8071268C,36,yes
us,asm,func_global_asm_806FB914,580,no
us,asm,func_global_asm_806C71E0,8,yes
us,asm,func_global_asm_80723284,52,yes
us,asm,func_global_asm_806F8DC4,240,yes
us,asm,func_global_asm_80648C50,52,yes
us,asm,func_global_asm_806E7568,240,yes
us,asm,func_global_asm_8066785C,352,no
us,asm,func_global_asm_806EBDAC,24,yes
us,asm,func_global_asm_8068A4C8,64,yes
us,asm,func_global_asm_806791EC,20,yes
us,asm,func_global_asm_806F94AC,108,yes
us,asm,func_global_asm_806D4C7C,360,yes
us,asm,func_global_asm_806FB290,40,yes
us,asm,func_global_asm_807317FC,176,yes
us,asm,func_global_asm_805FE544,240,yes
us,asm,func_global_asm_806C1300,172,yes
us,asm,func_global_asm_806FD9A0,20,yes
us,asm,func_global_asm_80729E6C,68,yes
us,asm,func_global_asm_80686E40,336,yes
us,asm,func_global_asm_806D024C,300,yes
us,asm,func_global_asm_8066CCD8,248,no
us,asm,func_global_asm_806E2F3C,172,yes
us,asm,func_global_asm_806E007C,252,yes
us,asm,func_global_asm_80650C28,112,yes
us,asm,func_global_asm_806D87FC,616,no
us,asm,func_global_asm_805FF1B0,324,yes
us,asm,func_global_asm_8062EBB8,496,no
us,asm,func_global_asm_80627F04,4676,no
us,asm,func_global_asm_80668E9C,1772,no
us,asm,func_global_asm_8063BBB0,784,no
us,asm,n_alSynNew,1540,no
us,asm,func_global_asm_806E78B8,40,yes
us,asm,func_global_asm_8061134C,64,yes
us,asm,func_global_asm_806B52DC,480,yes
us,asm,func_global_asm_806CFF9C,436,yes
us,asm,func_global_asm_806D06A0,708,yes
us,asm,func_global_asm_807009F4,240,no
us,asm,func_global_asm_80661398,80,yes
us,asm,func_global_asm_80714660,8,yes
us,asm,func_global_asm_8070D568,236,yes
us,asm,func_global_asm_806CDD24,1104,yes
us,asm,func_global_asm_80676220,56,yes
us,asm,func_global_asm_806E9A5C,112,yes
us,asm,func_global_asm_806CC190,244,yes
us,asm,func_global_asm_80688460,44,yes
us,asm,func_global_asm_8068D8C8,276,yes
us,asm,func_global_asm_806FD094,1020,no
us,asm,func_global_asm_8066CDD0,40,yes
us,asm,func_global_asm_80688C30,84,yes
us,asm,func_global_asm_8068A20C,64,yes
us,asm,func_global_asm_80713DFC,172,yes
us,asm,func_global_asm_806A5174,1612,no
us,asm,func_global_asm_8064B118,56,yes
us,asm,func_global_asm_8060C6B8,108,yes
us,asm,func_global_asm_80724DB0,152,yes
us,asm,func_global_asm_8072A86C,180,no
us,asm,func_global_asm_806330C4,820,no
us,asm,func_global_asm_80723F88,460,no
us,asm,func_global_asm_80714944,12,yes
us,asm,func_global_asm_80665AAC,32,yes
us,asm,func_global_asm_80675E3C,164,no
us,asm,func_global_asm_80713B40,332,no
us,asm,func_global_asm_8064ED68,160,yes
us,asm,func_global_asm_806EB194,292,yes
us,asm,getTextString,184,no
us,asm,changeActorColor,52,yes
us,asm,func_global_asm_80636380,188,yes
us,asm,func_global_asm_806FBB9C,152,yes
us,asm,func_global_asm_806FF358,720,no
us,asm,func_global_asm_80649E34,304,no
us,asm,func_global_asm_8068A784,36,yes
us,asm,func_global_asm_806DF280,272,yes
us,asm,n_alSynDelete,28,yes
us,asm,func_global_asm_8064B190,116,yes
us,asm,func_global_asm_806852C4,204,yes
us,asm,func_global_asm_8072DE10,52,yes
us,asm,func_global_asm_806FB490,644,no
us,asm,func_global_asm_8060D2C8,1184,no
us,asm,func_global_asm_8073B640,112,yes
us,asm,func_global_asm_806D3CD4,136,yes
us,asm,func_global_asm_806D09E8,108,yes
us,asm,func_global_asm_80723380,52,yes
us,asm,func_global_asm_80732894,152,yes
us,asm,func_global_asm_8070CD14,48,yes
us,asm,func_global_asm_80672A70,140,yes
us,asm,func_global_asm_80684850,176,yes
us,asm,func_global_asm_8073C820,176,no
us,asm,func_global_asm_80732444,132,yes
us,asm,func_global_asm_80647CF4,136,yes
us,asm,func_global_asm_806D25CC,160,yes
us,asm,func_global_asm_8066DD34,1256,no
us,asm,getCenterOfString,336,no
us,asm,func_global_asm_80689A80,144,yes
us,asm,func_global_asm_806C6530,852,yes
us,asm,func_global_asm_8069A7C8,940,no
us,asm,func_global_asm_80714A28,16,yes
us,asm,func_global_asm_80711BD0,960,no
us,asm,func_global_asm_80600340,172,yes
us,asm,func_global_asm_80653684,384,yes
us,asm,func_global_asm_8060BCA0,520,yes
us,asm,func_global_asm_8060DEA8,32,yes
us,asm,func_global_asm_8060B7F0,92,yes
us,asm,func_global_asm_80666AC4,28,yes
us,asm,func_global_asm_8072EA90,516,yes
us,asm,func_global_asm_806767E0,44,yes
us,asm,func_global_asm_8066715C,24,yes
us,asm,func_global_asm_806C4AC4,968,no
us,asm,func_global_asm_8062A774,92,yes
us,asm,func_global_asm_80710CA0,1904,no
us,asm,func_global_asm_8060DC3C,620,no
us,asm,func_global_asm_8063CF3C,668,no
us,asm,func_global_asm_807146F4,20,yes
us,asm,func_global_asm_806E5C74,236,yes
us,asm,func_global_asm_8068842C,52,yes
us,asm,func_global_asm_806FA7BC,516,no
us,asm,func_global_asm_8062D620,1236,no
us,asm,func_global_asm_806A2E30,2256,no
us,asm,func_global_asm_8063DA40,56,yes
us,asm,func_global_asm_805FC2B0,952,no
us,asm,func_global_asm_80685020,176,yes
us,asm,func_global_asm_806CF42C,140,yes
us,asm,func_global_asm_80602DC4,168,yes
us,asm,func_global_asm_8073BDC4,144,no
us,asm,func_global_asm_8071C620,504,yes
us,asm,func_global_asm_8066E72C,296,yes
us,asm,func_global_asm_806C55D8,8,yes
us,asm,func_global_asm_806E4AD8,404,yes
us,asm,func_global_asm_8067AF74,168,yes
us,asm,func_global_asm_80713AA8,152,yes
us,asm,func_global_asm_806CFF1C,128,yes
us,asm,func_global_asm_806CA5F8,3908,no
us,asm,func_global_asm_80650BBC,108,yes
us,asm,func_global_asm_806614D0,80,yes
us,asm,func_global_asm_8071F444,540,yes
us,asm,func_global_asm_806E1BA4,404,no
us,asm,func_global_asm_80654380,152,yes
us,asm,func_global_asm_80688320,80,yes
us,asm,func_global_asm_80635214,56,no
us,asm,func_global_asm_807146A4,60,yes
us,asm,func_global_asm_806D19A8,440,yes
us,asm,func_global_asm_8069AB74,1148,no
us,asm,func_global_asm_80695B50,92,yes
us,asm,func_global_asm_8070F570,92,yes
us,asm,func_global_asm_807197B4,600,no
us,asm,func_global_asm_8068C2EC,12,yes
us,asm,func_global_asm_8065F678,748,no
us,asm,func_global_asm_8067889C,328,no
