version,section,function,length,matching
us,.menu,func_menu_8002FE08,180,yes
us,.menu,func_menu_8002FB88,148,no
us,.menu,func_menu_800297B8,756,no
us,.menu,func_menu_80025AF0,116,yes
us,.menu,func_menu_80030A90,388,yes
us,.menu,func_menu_80028EA8,468,yes
us,.menu,func_menu_8002D520,716,no
us,.menu,func_menu_80031B08,1308,no
us,.menu,func_menu_8003292C,1572,no
us,.menu,func_menu_800317E8,408,yes
us,.menu,func_menu_8002FC1C,284,yes
us,.menu,func_menu_80026250,64,yes
us,.menu,func_menu_8002CFA4,1404,no
us,.menu,func_menu_8002A468,464,yes
us,.menu,func_menu_800261C0,144,yes
us,.menu,func_menu_800270E0,1292,no
us,.menu,func_menu_80029D30,456,yes
us,.menu,func_menu_8002907C,152,yes
us,.menu,func_menu_80024BFC,180,yes
us,.menu,func_menu_8002ECE8,304,yes
us,.menu,func_menu_80028C18,8,yes
us,.menu,func_menu_80024000,188,yes
us,.menu,func_menu_80026DAC,636,no
us,.menu,func_menu_80027F34,12,yes
us,.menu,func_menu_80032304,456,yes
us,.menu,func_menu_8002ACD4,124,yes
us,.menu,func_menu_80028D3C,364,yes
us,.menu,func_menu_8002EF68,796,no
us,.menu,func_menu_8002AA98,144,yes
us,.menu,func_menu_8002DBDC,780,no
us,.menu,func_menu_80025FB4,524,no
us,.menu,func_menu_8003264C,736,yes
us,.menu,func_menu_80025D44,72,yes
us,.menu,func_menu_80025D8C,120,yes
us,.menu,func_menu_800275EC,16,yes
us,.menu,func_menu_8002C91C,508,no
us,.menu,func_menu_80029EF8,400,yes
us,.menu,func_menu_80026684,108,yes
us,.menu,func_menu_80025D14,48,yes
us,.menu,func_menu_8002EE18,336,yes
us,.menu,func_menu_80027F40,108,yes
us,.menu,func_menu_8002CB18,1164,no
us,.menu,func_menu_800297A8,16,yes
us,.menu,func_menu_8002C0C8,1212,yes
us,.menu,func_menu_8002FEBC,924,no
us,.menu,func_menu_8002E420,1176,no
us,.menu,func_menu_80024788,1140,no
us,.menu,func_menu_800252AC,2100,no
us,.menu,func_menu_80027738,208,yes
us,.menu,func_menu_80024154,148,yes
us,.menu,func_menu_800240BC,152,yes
us,.menu,func_menu_80026804,112,yes
us,.menu,func_menu_80031980,220,no
us,.menu,func_menu_80027808,384,no
us,.menu,func_menu_80026B28,644,no
us,.menu,func_menu_8002D7EC,192,yes
us,.menu,func_menu_8002AD50,120,yes
us,.menu,func_menu_8002F75C,400,no
us,.menu,func_menu_800241E8,60,yes
us,.menu,func_menu_80029AAC,264,yes
us,.menu,func_menu_8002A638,1120,no
us,.menu,func_menu_80027DEC,32,yes
us,.menu,func_menu_80027028,184,yes
us,.menu,func_menu_80030258,232,yes
us,.menu,func_menu_8002A36C,252,yes
us,.menu,func_menu_80027988,1124,no
us,.menu,func_menu_8002E8B8,1072,no
us,.menu,func_menu_80032024,684,no
us,.menu,func_menu_80024CB0,576,yes
us,.menu,func_menu_80029114,184,yes
us,.menu,func_menu_80025AE0,8,yes
us,.menu,func_menu_80028C20,284,yes
us,.menu,func_menu_80025B64,432,yes
us,.menu,func_menu_80030894,508,no
us,.menu,func_menu_8002F284,1092,no
us,.menu,func_menu_80031A5C,172,yes
us,.menu,func_menu_80026874,692,yes
us,.menu,func_menu_80028834,996,yes
us,.menu,func_menu_800266F0,276,yes
us,.menu,func_menu_8002FD38,208,yes
us,.menu,func_menu_800322D0,52,yes
us,.menu,func_menu_80027E10,80,yes
us,.menu,func_menu_8002AB80,340,no
us,.menu,func_menu_80024224,500,yes
us,.menu,func_menu_80029BB4,380,no
us,.menu,func_menu_80026290,24,yes
us,.menu,func_menu_800275FC,316,no
us,.menu,func_menu_800262A8,988,no
us,.menu,func_menu_8002DFA8,1144,no
us,.menu,func_menu_80027E60,212,yes
us,.menu,func_menu_80024418,212,yes
us,.menu,func_menu_8002D8AC,816,no
us,.menu,func_menu_800244EC,668,yes
us,.menu,func_menu_8002A088,740,no
us,.menu,func_menu_8002B708,2496,no
us,.menu,func_menu_80025E04,432,yes
us,.menu,func_menu_800324CC,124,yes
us,.menu,func_menu_80024EF0,956,no
us,.menu,func_menu_80032550,252,yes
us,.menu,func_menu_8002AB28,88,yes
us,.menu,func_menu_8002F980,520,no
us,.menu,func_menu_8002F8EC,148,yes
us,.menu,func_menu_800291CC,1500,no
us,.menu,func_menu_8002F6C8,148,yes
us,.menu,func_menu_8002C584,176,yes
us,.menu,func_menu_8003155C,652,no
us,.menu,func_menu_8002ADC8,2368,no
us,.menu,func_menu_80030340,1364,no
us,.menu,func_menu_80030C14,2376,no
us,.menu,func_menu_80027FAC,1820,no
us,.menu,func_menu_8002DEE8,192,yes
us,.menu,func_menu_800286C8,364,yes
us,.menu,func_menu_8002C634,744,no
