version,section,function,length,matching
us,.code,func_800245B0,316,no
us,.code,func_8002698C,60,yes
us,.code,func_80025654,320,no
us,.code,func_80025B48,416,yes
us,.code,func_800253C8,60,yes
us,.code,func_80025CE8,668,no
us,.code,func_80026E20,336,no
us,.code,func_80024254,168,no
us,.code,func_80025FFC,152,yes
us,.code,func_80026BD8,360,no
us,.code,func_800246EC,748,no
us,.code,func_80025608,76,yes
us,.code,func_80024CA4,1472,no
us,.code,func_80026B0C,204,yes
us,.code,func_8002452C,132,yes
us,.code,func_80025794,948,no
us,.code,func_800242FC,204,yes
us,.code,func_80025264,276,no
us,.code,func_800243C8,212,yes
us,.code,func_80024000,500,yes
us,.code,func_80025404,516,no
us,.code,func_80026D40,224,yes
us,.code,func_800268C0,28,yes
us,.code,func_80026094,2092,no
us,.code,func_800269C8,324,yes
us,.code,func_800249D8,716,no
us,.code,func_800241F4,96,yes
us,.code,func_80025378,80,no
us,.code,func_80025F84,120,yes
us,.code,func_800268DC,176,yes
us,.code,func_8002449C,144,yes
