version,section,function,length,matching
us,.code,func_8002658C,744,no
us,.code,func_800255C4,528,no
us,.code,func_80027118,552,no
us,.code,func_800247F4,900,no
us,.code,func_80024C88,672,no
us,.code,func_800288A8,500,no
us,.code,func_8002904C,196,no
us,.code,func_80027340,264,yes
us,.code,func_80029110,8,yes
us,.code,func_80026874,144,no
us,.code,func_80025DB8,388,yes
us,.code,func_80024578,64,yes
us,.code,func_80025F8C,144,yes
us,.code,func_80025F3C,80,yes
us,.code,func_80025A3C,148,no
us,.code,func_80025500,196,yes
us,.code,func_80026530,92,yes
us,.code,func_80024154,296,no
us,.code,func_80028840,104,yes
us,.code,func_80026410,92,yes
us,.code,func_80026B78,292,no
us,.code,func_800296DC,276,no
us,.code,func_80026E0C,452,yes
us,.code,func_80026C9C,368,no
us,.code,func_80028EE8,356,no
us,.code,func_80026298,40,yes
us,.code,func_80024518,96,yes
us,.code,func_80029118,1476,no
us,.code,func_80027DC0,864,no
us,.code,func_80028DE8,256,no
us,.code,func_80028120,1824,no
us,.code,func_80026904,344,yes
us,.code,func_80025AD0,588,no
us,.code,func_8002427C,528,no
us,.code,func_800245B8,572,yes
us,.code,func_80026338,216,yes
us,.code,func_8002601C,636,no
us,.code,func_80024000,156,no
us,.code,func_80024F28,580,yes
us,.code,func_80028A9C,844,no
us,.code,func_8002516C,916,no
us,.code,func_80026A5C,284,yes
us,.code,func_80024B78,272,yes
us,.code,func_80025D1C,156,yes
us,.code,func_800262C0,120,yes
us,.code,func_8002646C,196,yes
us,.code,func_80026FD0,100,yes
us,.code,func_800257D4,220,no
us,.code,func_80027448,2424,no
us,.code,func_8002448C,140,yes
us,.code,func_800258B0,396,no
us,.code,func_80027034,88,yes
us,.code,func_8002708C,140,yes
us,.code,func_800240EC,104,yes
us,.code,func_8002409C,80,yes
